question,answer,communication,confidence,problem_solving,teamwork
"Describe a time when you had to speak up for yourself.","Uh, I told a peer they were being too harsh on someone. I wasn’t very confident but tried to explain politely.",3,2,3,4
"Describe a time when you had to speak up for yourself.","I insisted on following SOPs even when others wanted shortcuts. I was confident but my communication was a bit abrupt.",4,5,4,3
"Describe a time when you had to speak up for yourself.","I raised a point in a meeting that others missed. Ahh, it was well-received, and I felt confident about my reasoning.",5,5,5,4
"Describe a time when you had to speak up for yourself.","I told my manager I needed help on a task. My confidence was low, but communication was clear.",5,3,4,4
"Describe a time when you had to speak up for yourself.","Uh, a teammate was ignoring my suggestions. I finally said it directly. My teamwork suffered a bit but I managed.",3,4,3,2
"Describe a time when you had to speak up for yourself.","I challenged an incorrect report during a meeting. Ahh, my confidence was high, communication okay, teamwork neutral.",4,5,4,3
"Describe a time when you had to speak up for yourself.","I spoke to HR about unfair evaluation. I was anxious but explained details clearly.",5,4,5,3
"Describe a time when you had to speak up for yourself.","I disagreed with a process change. Uh, I wasn’t confident initially but I tried to stay logical and calm.",4,3,4,3
"Describe a time when you had to speak up for yourself.","During a client call, I corrected a misunderstanding. Ahh, I was nervous but succeeded in clarifying.",4,4,5,4
"Describe a time when you had to speak up for yourself.","I refused to take extra work unfairly assigned. My confidence was good, but communication slightly informal.",4,5,4,3
"Describe a time when you had to speak up for yourself.","Uh, I explained to a team lead why a task sequence was wrong. I lacked some confidence but the logic was clear.",4,3,5,4
"Describe a time when you had to speak up for yourself.","I told my peer that I deserved to present our joint work. Ahh, it went well, my confidence high, teamwork respected.",5,5,4,5
"Tell me about a time you had to take responsibility for a mistake.","Uh, I accidentally submitted wrong data in a report. I immediately informed my manager and suggested corrections. Ahh, it was handled well.",5,5,5,4
"Tell me about a time you had to take responsibility for a mistake.","I missed a deadline once. I explained the reason honestly and requested support. Communication was okay.",4,4,4,4
"Tell me about a time you had to take responsibility for a mistake.","Hmm, I forgot to include a client requirement. I told my team and we fixed it quickly. Confidence was moderate.",4,3,5,4
"Tell me about a time you had to take responsibility for a mistake.","I miscalculated a budget. I apologized to the manager. Ahh, my teamwork helped us recover.",4,4,4,5
"Tell me about a time you had to take responsibility for a mistake.","Uh, I blamed myself but also suggested a solution. Communication was hesitant.",3,4,5,3
"Tell me about a time you had to take responsibility for a mistake.","I overlooked some documents. I felt nervous admitting it, but handled correction well.",4,3,4,4
"Tell me about a time you had to take responsibility for a mistake.","Ahh, I accepted my mistake in front of client and team. Confidence was high, teamwork improved.",5,5,5,5
"Tell me about a time you had to take responsibility for a mistake.","I misreported some info. I admitted it but my explanation was unclear.",3,3,4,3
"Tell me about a time you had to take responsibility for a mistake.","I accidentally sent wrong email. I apologized and clarified details. Communication strong, confidence okay.",5,4,5,4
"Tell me about a time you had to take responsibility for a mistake.","Uh, I was late in submitting a task. I told my supervisor and promised to improve.",4,3,4,4
"Tell me about a time you had to take responsibility for a mistake.","I missed a step in a process. Ahh, I immediately corrected it and notified colleagues.",4,4,5,4
"Tell me about a time you had to take responsibility for a mistake.","I blamed myself for a team error initially, but later realized I could share responsibility. Communication was okay.",4,3,4,3
"Tell me about a time you had to take responsibility for a mistake.","I corrected an error in a spreadsheet. Confidence was moderate, teamwork good.",4,4,4,5
"Tell me about a time you had to take responsibility for a mistake.","Uh, I admitted missing some client feedback. My explanation was weak, confidence low.",3,2,4,3
"Tell me about a time you had to take responsibility for a mistake.","I owned up to a miscommunication in the team meeting. Ahh, handled calmly, improved trust.",5,5,4,5
"Tell me about a time you had to take responsibility for a mistake.","I overlooked a step in reporting. Felt nervous but clarified immediately.",4,3,4,4
"Tell me about a time you had to take responsibility for a mistake.","I mismanaged my time and delayed submission. Communication good, confidence low.",4,2,4,3
"Tell me about a time you had to take responsibility for a mistake.","I accidentally missed an update. I apologized and suggested a solution. Ahh, teamwork appreciated.",4,4,5,5
"Tell me about a time you had to take responsibility for a mistake.","I gave wrong input to a colleague. Felt awkward explaining, but corrected it.",3,3,4,3
"Tell me about a time you had to take responsibility for a mistake.","Uh, I owned up to a small error in front of the client. Communication was decent, confidence good.",4,4,4,4
"Give an example of when you had to make a quick decision under pressure.","Ahh, during a client call, a sudden issue came up. I suggested a temporary solution immediately, and it worked.",5,5,5,4
"Give an example of when you had to make a quick decision under pressure.","Uh, the printer failed before submission. I quickly emailed soft copy to the manager.",4,4,5,3
"Give an example of when you had to make a quick decision under pressure.","During a lab task, a machine stopped working. I improvised a workaround.",4,5,5,4
"Give an example of when you had to make a quick decision under pressure.","I noticed a deadline conflict. I reprioritized tasks instantly.",4,5,5,5
"Give an example of when you had to make a quick decision under pressure.","Uh, I chose to approve a minor change on the spot to avoid delay.",3,4,4,3
"Give an example of when you had to make a quick decision under pressure.","I suggested a temporary fix for a software bug.",4,4,5,4
"Give an example of when you had to make a quick decision under pressure.","Ahh, I reallocated tasks when someone was absent. It worked well.",4,5,5,5
"Give an example of when you had to make a quick decision under pressure.","During a meeting, I corrected a misstatement quickly.",4,5,4,4
"Give an example of when you had to make a quick decision under pressure.","Uh, I decided to skip a step to save time. It was risky but successful.",4,5,4,3
"Give an example of when you had to make a quick decision under pressure.","I improvised a new approach in a presentation when tech failed.",5,5,5,4
"Give an example of when you had to make a quick decision under pressure.","I acted fast on a client query.",4,4,4,4
"Give an example of when you had to make a quick decision under pressure.","Uh, I quickly reassigned roles in a group project.",4,4,4,5
"Give an example of when you had to make a quick decision under pressure.","Ahh, I made a judgment call during a busy shift to prevent errors.",5,5,5,4
"Give an example of when you had to make a quick decision under pressure.","I chose a shortcut in reporting to meet deadline.",3,4,3,3
"Give an example of when you had to make a quick decision under pressure.","Uh, I recommended a client delay to ensure quality.",4,5,5,4
"Give an example of when you had to make a quick decision under pressure.","I handled a surprise question in presentation.",4,5,4,4
"Give an example of when you had to make a quick decision under pressure.","I decided to fix a last-minute error in data manually.",3,4,4,3
"Give an example of when you had to make a quick decision under pressure.","Uh, I quickly adjusted team priorities during an urgent project.",4,5,5,5
"Give an example of when you had to make a quick decision under pressure.","I made a quick call to approve a budget request.",4,5,4,4
"Give an example of when you had to make a quick decision under pressure.","Ahh, I acted fast during a client escalation.",4,5,4,4
"Tell me about a time you had to take responsibility for a mistake.","Uh, I accidentally submitted wrong data in a report. I immediately informed my manager and suggested corrections.",5,5,5,4
"Tell me about a time you had to take responsibility for a mistake.","I missed a deadline once. I explained the reason honestly and requested support.",4,4,4,4
"Tell me about a time you had to take responsibility for a mistake.","Hmm, I forgot to include a client requirement. I told my team and we fixed it quickly.",4,3,5,4
"Tell me about a time you had to take responsibility for a mistake.","I miscalculated a budget. I apologized to the manager.",4,4,4,5
"Tell me about a time you had to take responsibility for a mistake.","Uh, I blamed myself but also suggested a solution.",3,4,5,3
"Tell me about a time you had to take responsibility for a mistake.","I overlooked some documents. I felt nervous admitting it, but handled correction well.",4,3,4,4
"Tell me about a time you had to take responsibility for a mistake.","Ahh, I accepted my mistake in front of client and team.",5,5,5,5
"Tell me about a time you had to take responsibility for a mistake.","I misreported some info. I admitted it but my explanation was unclear.",3,3,4,3
"Tell me about a time you had to take responsibility for a mistake.","I accidentally sent wrong email. I apologized and clarified details.",5,4,5,4
"Tell me about a time you had to take responsibility for a mistake.","Uh, I was late in submitting a task. I told my supervisor and promised to improve.",4,3,4,4
"Tell me about a time you had to take responsibility for a mistake.","I missed a step in a process. I immediately corrected it and notified colleagues.",4,4,5,4
"Tell me about a time you had to take responsibility for a mistake.","I blamed myself for a team error initially, but later realized I could share responsibility.",4,3,4,3
"Tell me about a time you had to take responsibility for a mistake.","I corrected an error in a spreadsheet.",4,4,4,5
"Tell me about a time you had to take responsibility for a mistake.","Uh, I admitted missing some client feedback. My explanation was weak.",3,2,4,3
"Tell me about a time you had to take responsibility for a mistake.","I owned up to a miscommunication in the team meeting.",5,5,4,5
"Tell me about a time you had to take responsibility for a mistake.","I overlooked a step in reporting. Felt nervous but clarified immediately.",4,3,4,4
"Tell me about a time you had to take responsibility for a mistake.","I mismanaged my time and delayed submission.",4,2,4,3
"Tell me about a time you had to take responsibility for a mistake.","I accidentally missed an update. I apologized and suggested a solution.",4,4,5,5
"Tell me about a time you had to take responsibility for a mistake.","I gave wrong input to a colleague. Felt awkward explaining, but corrected it.",3,3,4,3
"Tell me about a time you had to take responsibility for a mistake.","Uh, I owned up to a small error in front of the client.",4,4,4,4
"Tell me about a time you had to handle criticism.","Ahh, my manager pointed out errors in my report. I listened carefully, asked clarifying questions, and improved it.",5,4,5,4
"Tell me about a time you had to handle criticism.","Uh, a colleague criticized my approach in a meeting. I felt nervous but responded politely.",4,3,4,4
"Tell me about a time you had to handle criticism.","I received client feedback that my work was incomplete. I acknowledged, revised, and submitted quickly.",5,5,5,4
"Tell me about a time you had to handle criticism.","Hmm, someone said my presentation was unclear. I took notes and asked how to improve.",3,3,4,3
"Tell me about a time you had to handle criticism.","Ahh, my supervisor suggested a better method. I adapted easily and implemented it.",5,5,5,4
"Tell me about a time you had to handle criticism.","I got negative feedback from a peer. Uh, I was defensive first but calmed down and applied the advice.",4,4,4,4
"Tell me about a time you had to handle criticism.","During a group project, my ideas were rejected. Ahh, I accepted it and contributed differently.",4,4,4,5
"Tell me about a time you had to handle criticism.","I was told my report formatting was poor. I corrected it.",4,4,4,3
"Tell me about a time you had to handle criticism.","Uh, criticism made me anxious but I asked for examples to understand.",3,3,4,3
"Tell me about a time you had to handle criticism.","I politely accepted feedback from client and implemented suggestions.",5,4,5,5
"Tell me about a time you had to handle criticism.","I received criticism in front of the team. I stayed calm, explained reasoning.",4,4,4,4
"Tell me about a time you had to handle criticism.","Uh, my approach was questioned by manager. I explained partially, accepted some suggestions.",4,3,4,4
"Tell me about a time you had to handle criticism.","Ahh, a peer suggested a better workflow. I listened and applied it.",5,4,5,5
"Tell me about a time you had to handle criticism.","I took feedback on a client email. Felt nervous, but revised it successfully.",4,3,4,4
"Tell me about a time you had to handle criticism.","Uh, I was criticized for delaying tasks. I acknowledged, reorganized, and apologized.",4,4,4,4
"Tell me about a time you had to handle criticism.","I got criticism from team lead. Ahh, I analyzed and implemented changes.",5,5,5,5
"Tell me about a time you had to handle criticism.","I felt hurt by a colleague's comments but responded professionally.",4,3,4,4
"Tell me about a time you had to handle criticism.","Uh, criticism was harsh but I asked for details and fixed mistakes.",4,4,5,4
"Tell me about a time you had to handle criticism.","Ahh, a senior suggested I redo work. I took time, corrected errors, learned a lot.",5,5,5,4
"Tell me about a time you had to handle criticism.","I received minor criticism from client. I acknowledged politely and corrected promptly.",5,4,5,5
"Give an example of when you had to influence others.","Ahh, I suggested a new approach to my team. Explained benefits clearly, they agreed.",5,5,5,5
"Give an example of when you had to influence others.","Uh, I convinced a colleague to follow my method.",4,4,4,4
"Give an example of when you had to influence others.","I persuaded a client to accept a timeline change.",5,5,5,5
"Give an example of when you had to influence others.","Hmm, I tried to influence my team but some resisted.",4,4,3,3
"Give an example of when you had to influence others.","Ahh, I convinced manager to consider alternate solution.",5,5,5,4
"Give an example of when you had to influence others.","I suggested process change in a meeting. Uh, few agreed, others hesitant.",4,4,4,4
"Give an example of when you had to influence others.","I influenced team to adopt a new tool.",5,5,5,5
"Give an example of when you had to influence others.","Uh, I proposed a small change in reporting. Some agreed, others not fully convinced.",4,4,4,3
"Give an example of when you had to influence others.","I explained a better approach to a peer.",5,5,4,4
"Give an example of when you had to influence others.","I recommended new schedule to team. Uh, some resistance but ultimately agreed.",4,5,4,4
"Give an example of when you had to influence others.","Ahh, I influenced a client decision by presenting clear data.",5,5,5,4
"Give an example of when you had to influence others.","I tried to influence teammate to adopt process. Uh, explanation weak.",3,3,4,3
"Give an example of when you had to influence others.","I persuaded the manager to approve resources.",5,5,4,4
"Give an example of when you had to influence others.","Uh, I suggested a minor change to peer. Some agreed, some ignored.",4,4,4,3
"Give an example of when you had to influence others.","Ahh, I convinced junior team to follow instructions properly.",5,5,5,5
"Give an example of when you had to influence others.","I tried to influence decisions in team call. Uh, partially succeeded.",4,4,4,3
"Give an example of when you had to influence others.","I proposed a strategy change, some resisted, I explained clearly.",4,4,4,5
"Give an example of when you had to influence others.","Ahh, I convinced senior to adopt small improvement.",5,5,4,4
"Give an example of when you had to influence others.","I suggested better workflow to team. Uh, some accepted, some ignored.",4,4,4,4
"Give an example of when you had to influence others.","Ahh, I influenced a client to accept a practical change.",5,5,5,4
"Describe a situation where you had to motivate others.","Ahh, I encouraged my team to meet a tight deadline by explaining benefits and showing support.",5,5,4,5
"Describe a situation where you had to motivate others.","Uh, I told a colleague not to give up on a difficult task.",4,4,3,4
"Describe a situation where you had to motivate others.","I praised small achievements of team members to boost morale.",5,5,4,5
"Describe a situation where you had to motivate others.","Hmm, I tried to motivate a junior, but they didn’t respond initially.",4,3,3,3
"Describe a situation where you had to motivate others.","Ahh, I organized a quick team huddle to encourage everyone.",5,5,4,5
"Describe a situation where you had to motivate others.","I shared my own experience to motivate peer. Uh, communication moderate.",4,4,3,4
"Describe a situation where you had to motivate others.","I celebrated a team success publicly to boost morale.",5,5,4,5
"Describe a situation where you had to motivate others.","Uh, I encouraged someone to participate in presentation.",4,4,4,4
"Describe a situation where you had to motivate others.","I reminded team of goals when morale was low.",5,5,4,5
"Describe a situation where you had to motivate others.","I gave constructive feedback to motivate a colleague. Uh, confidence good.",4,5,4,4
"Describe a situation where you had to motivate others.","Ahh, I motivated team by showing small wins.",5,5,4,5
"Describe a situation where you had to motivate others.","I tried motivating a peer but they remained disengaged.",3,3,3,3
"Describe a situation where you had to motivate others.","Uh, I shared a positive story to inspire the team.",4,4,3,4
"Describe a situation where you had to motivate others.","Ahh, I organized a mini reward system to motivate team.",5,5,4,5
"Describe a situation where you had to motivate others.","I encouraged a colleague to submit work early. Uh, teamwork improved.",4,4,4,4
"Describe a situation where you had to motivate others.","I motivated my team by being proactive and positive.",5,5,4,5
"Describe a situation where you had to motivate others.","I suggested small breaks to motivate team during long work.",4,4,3,4
"Describe a situation where you had to motivate others.","Ahh, I motivated a peer to improve quality.",5,5,4,5
"Describe a situation where you had to motivate others.","Uh, I tried motivating team, but only few responded.",4,4,3,3
"Describe a situation where you had to motivate others.","I gave a pep talk before a client presentation.",5,5,4,5
"Tell me about a time you had to assert your opinion in a group.","Ahh, I suggested a different approach in a team meeting. Some resisted, but I explained clearly.",5,5,5,4
"Tell me about a time you had to assert your opinion in a group.","Uh, I spoke up against majority view.",4,5,4,3
"Tell me about a time you had to assert your opinion in a group.","I recommended a safer method during a project.",5,5,5,5
"Tell me about a time you had to assert your opinion in a group.","Hmm, I disagreed with peer, but my explanation weak.",3,3,4,3
"Tell me about a time you had to assert your opinion in a group.","Ahh, I asserted my opinion diplomatically, helping team reach decision.",5,5,5,5
"Tell me about a time you had to assert your opinion in a group.","I tried to influence team choice but got partially ignored.",4,4,4,3
"Tell me about a time you had to assert your opinion in a group.","I convinced team to change schedule.",5,5,4,5
"Tell me about a time you had to assert your opinion in a group.","Uh, I stated my opinion but hesitated.",4,3,4,4
"Tell me about a time you had to assert your opinion in a group.","I explained a technical point clearly.",5,5,5,4
"Tell me about a time you had to assert your opinion in a group.","I disagreed respectfully in meeting.",4,4,4,4
"Tell me about a time you had to assert your opinion in a group.","Ahh, I asserted my view on workflow changes. Team agreed partially.",5,5,4,4
"Tell me about a time you had to assert your opinion in a group.","Uh, I suggested process improvement. Few agreed, others ignored.",4,4,4,3
"Tell me about a time you had to assert your opinion in a group.","I asserted my idea about project plan.",5,5,4,4
"Tell me about a time you had to assert your opinion in a group.","I disagreed with team decision.",4,4,4,3
"Tell me about a time you had to assert your opinion in a group.","Ahh, I recommended change in scheduling. Team accepted eventually.",5,5,4,5
"Tell me about a time you had to assert your opinion in a group.","I voiced concern about quality.",4,4,4,4
"Tell me about a time you had to assert your opinion in a group.","I suggested an alternative solution.",5,5,4,5
"Tell me about a time you had to assert your opinion in a group.","Uh, I tried asserting my point, but some ignored.",4,4,4,3
"Tell me about a time you had to assert your opinion in a group.","I disagreed with majority politely.",5,5,4,5
"Tell me about a time you had to assert your opinion in a group.","I presented my idea during discussion.",4,5,4,4
"Give an example of when you remained calm under pressure.","Ahh, a client escalated an issue. I stayed calm, listened, and suggested solution.",5,5,5,4
"Give an example of when you remained calm under pressure.","Uh, system crashed during submission. I calmly informed manager and fixed error.",4,5,5,4
"Give an example of when you remained calm under pressure.","I handled last-minute changes in a report without panicking.",5,5,5,5
"Give an example of when you remained calm under pressure.","Hmm, I stayed calm when peer raised objections.",4,4,4,3
"Give an example of when you remained calm under pressure.","Ahh, I completed task under tight deadline without stress.",5,5,5,4
"Give an example of when you remained calm under pressure.","I managed client query calmly, though nervous initially.",4,4,5,4
"Give an example of when you remained calm under pressure.","Uh, during urgent task, I prioritized calmly.",4,5,5,4
"Give an example of when you remained calm under pressure.","I addressed complaint calmly, without losing temper.",5,5,4,4
"Give an example of when you remained calm under pressure.","Ahh, I delegated tasks calmly under pressure.",5,5,4,5
"Give an example of when you remained calm under pressure.","I stayed calm while solving tech problem.",4,4,5,4
"Give an example of when you remained calm under pressure.","I reassured team during chaos.",5,5,4,5
"Give an example of when you remained calm under pressure.","Uh, I managed sudden client change.",4,4,4,4
"Give an example of when you remained calm under pressure.","Ahh, I remained calm during a miscommunication and corrected error.",5,5,5,4
"Give an example of when you remained calm under pressure.","I faced criticism calmly.",5,5,4,4
"Give an example of when you remained calm under pressure.","Uh, urgent issue came, I prioritized calmly.",4,5,5,4
"Give an example of when you remained calm under pressure.","I remained calm in client call, though inner stress high.",4,4,5,4
"Give an example of when you remained calm under pressure.","Ahh, handled sudden mistake calmly and reassigned tasks.",5,5,5,5
"Give an example of when you remained calm under pressure.","I stayed calm under multiple deadlines.",4,4,5,4
"Give an example of when you remained calm under pressure.","I managed team conflict calmly, explaining issues without anger.",5,5,4,5
"Give an example of when you remained calm under pressure.","Ahh, I solved last-minute problem while keeping team calm.",5,5,5,5
"Tell me about a time you had to convince someone to accept your idea.","Ahh, I presented data to convince manager.",5,5,5,4
"Tell me about a time you had to convince someone to accept your idea.","Uh, I suggested workflow change. Peer was hesitant, I explained benefits clearly.",5,4,5,4
"Tell me about a time you had to convince someone to accept your idea.","I convinced client to try alternate approach.",5,5,5,4
"Tell me about a time you had to convince someone to accept your idea.","Hmm, I proposed change but got partial acceptance.",4,4,4,3
"Tell me about a time you had to convince someone to accept your idea.","Ahh, I persuaded team to follow my solution by showing pros.",5,5,5,5
"Tell me about a time you had to convince someone to accept your idea.","Uh, I explained rationale to peer. Some accepted, others hesitant.",4,4,4,4
"Tell me about a time you had to convince someone to accept your idea.","I convinced manager to extend timeline.",5,5,5,4
"Tell me about a time you had to convince someone to accept your idea.","I suggested new format to colleague. Uh, partially accepted.",4,4,4,3
"Tell me about a time you had to convince someone to accept your idea.","Ahh, I presented a small demo to influence client.",5,5,4,4
"Tell me about a time you had to convince someone to accept your idea.","I explained logic clearly to persuade team.",5,5,4,4
"Tell me about a time you had to convince someone to accept your idea.","Ahh, I convinced senior to adopt my workflow.",5,5,5,4
"Tell me about a time you had to convince someone to accept your idea.","Uh, tried convincing peer but failed partially.",4,3,4,3
"Tell me about a time you had to convince someone to accept your idea.","I presented facts to client, they agreed.",5,5,5,4
"Tell me about a time you had to convince someone to accept your idea.","I persuaded team member to follow SOP.",4,4,4,4
"Tell me about a time you had to convince someone to accept your idea.","Ahh, I convinced junior to follow quality standards.",5,5,4,5
"Tell me about a time you had to convince someone to accept your idea.","I convinced colleague to implement minor change.",4,4,4,4
"Tell me about a time you had to convince someone to accept your idea.","Ahh, I persuaded manager to approve budget.",5,5,5,4
"Tell me about a time you had to convince someone to accept your idea.","I suggested new plan to team, some agreed, others hesitant.",4,4,4,4
"Tell me about a time you had to convince someone to accept your idea.","Ahh, I convinced client with demonstration and data.",5,5,5,4
"Tell me about a time you had to convince someone to accept your idea.","Uh, I explained benefits of new workflow. Team agreed eventually.",5,4,4,5
"Describe a situation where you identified a problem and solved it.","Ahh, I noticed repeated errors in reports. I created a checklist, errors reduced.",5,5,5,4
"Describe a situation where you identified a problem and solved it.","Uh, I realized client request was misunderstood. I clarified, but took longer.",4,3,4,3
"Describe a situation where you identified a problem and solved it.","I noticed missing data in spreadsheet. Ahh, I asked colleague for help, fixed it.",4,4,4,5
"Describe a situation where you identified a problem and solved it.","Hmm, miscommunication in task assignment. Explained to team, but not fully solved.",3,3,3,3
"Describe a situation where you identified a problem and solved it.","Uh, I suggested alternate process, team ignored it mostly.",3,2,3,2
"Describe a situation where you identified a problem and solved it.","I noticed recurring delays. Ahh, proposed schedule, partially helped.",4,4,4,4
"Describe a situation where you identified a problem and solved it.","Errors in team inputs. Uh, corrected them but some still remained.",4,3,4,3
"Describe a situation where you identified a problem and solved it.","Ahh, spotted discrepancy in invoice. Solved temporarily.",5,4,5,3
"Describe a situation where you identified a problem and solved it.","Uh, delays continued, I tried motivating team. Mixed results.",3,3,3,4
"Describe a situation where you identified a problem and solved it.","I noticed bottleneck in workflow. Ahh, proposed task redistribution.",4,5,4,4
"Describe a situation where you identified a problem and solved it.","Uh, technical issue slowed submission. Fixed partially.",3,2,4,3
"Describe a situation where you identified a problem and solved it.","Ahh, missing client input, followed up slowly.",3,3,4,3
"Describe a situation where you identified a problem and solved it.","I found mistakes in documentation. Uh, corrected some, some remained.",4,3,4,4
"Describe a situation where you identified a problem and solved it.","Ahh, misalignment in reports, solved temporarily.",4,4,4,3
"Describe a situation where you identified a problem and solved it.","Uh, observed delay in approval. Suggested reminder system.",3,3,4,4
"Describe a situation where you identified a problem and solved it.","Ahh, duplicate client requests, partially streamlined.",4,4,4,3
"Describe a situation where you identified a problem and solved it.","I noticed minor bug in tool. Uh, fixed, but still some errors remained.",4,3,4,3
"Describe a situation where you identified a problem and solved it.","Ahh, miscommunication in email, explained to team slowly.",4,3,4,4
"Describe a situation where you identified a problem and solved it.","Uh, some errors in report persisted. Tried solution, only partially worked.",3,2,3,3
"Describe a situation where you identified a problem and solved it.","Ahh, cross-verified data, corrected errors.",4,5,4,4
"Give an example of a time you solved a problem creatively.","Ahh, color-coding spreadsheet reduced errors.",5,5,5,4
"Give an example of a time you solved a problem creatively.","Uh, combined two reports into one dashboard. Some issues remained.",4,4,4,3
"Give an example of a time you solved a problem creatively.","Suggested free software to automate. Team used partially.",5,4,5,4
"Give an example of a time you solved a problem creatively.","Hmm, improvised chart manually. Not efficient.",3,3,4,3
"Give an example of a time you solved a problem creatively.","Ahh, used WhatsApp reminders to improve task completion.",5,5,5,4
"Give an example of a time you solved a problem creatively.","Uh, created checklist, errors reduced partially.",4,4,4,3
"Give an example of a time you solved a problem creatively.","Used color markers for prioritization. Ahh, teamwork improved.",5,5,5,5
"Give an example of a time you solved a problem creatively.","Uh, combined processes to save time, partially successful.",4,4,4,3
"Give an example of a time you solved a problem creatively.","Ahh, proposed new sequence for data entry.",5,4,5,4
"Give an example of a time you solved a problem creatively.","Improvised during technical issue, partially worked.",4,4,4,3
"Give an example of a time you solved a problem creatively.","Ahh, mini guide for repetitive tasks helped team.",5,4,5,5
"Give an example of a time you solved a problem creatively.","Suggested combining updates in one email.",4,3,4,4
"Give an example of a time you solved a problem creatively.","Ahh, swapped tasks to solve scheduling conflict.",5,5,4,4
"Give an example of a time you solved a problem creatively.","Uh, improvised report, solution not optimal.",3,3,3,3
"Give an example of a time you solved a problem creatively.","Ahh, visual method to explain data.",5,5,5,4
"Give an example of a time you solved a problem creatively.","Used pivot table to fix errors.",5,4,5,4
"Give an example of a time you solved a problem creatively.","Uh, applied workaround to save deadline. Only partially effective.",3,3,3,3
"Give an example of a time you solved a problem creatively.","Ahh, mini checklist avoided mistakes.",5,5,5,5
"Give an example of a time you solved a problem creatively.","Uh, combined steps to save time, team resisted.",4,3,4,3
"Give an example of a time you solved a problem creatively.","Ahh, created simple template for errors.",5,4,5,4
"Tell me about a time you analyzed information to make a decision.","Ahh, reviewed client data, identified missing info.",5,5,5,4
"Tell me about a time you analyzed information to make a decision.","Uh, compared two reports, recommended approach. Some errors remained.",4,4,4,3
"Tell me about a time you analyzed information to make a decision.","Analyzed feedback, identified trends, suggested workflow.",5,4,5,5
"Tell me about a time you analyzed information to make a decision.","Hmm, incomplete data. Decision not fully effective.",3,3,3,3
"Tell me about a time you analyzed information to make a decision.","Ahh, cross-checked records, proposed accurate timeline.",5,5,5,4
"Tell me about a time you analyzed information to make a decision.","Uh, summarized notes, advised manager. Partial success.",4,4,4,3
"Tell me about a time you analyzed information to make a decision.","Analyzed spreadsheet errors, suggested correction.",5,5,5,5
"Tell me about a time you analyzed information to make a decision.","Uh, reviewed survey results, suggested minor actions.",4,4,4,4
"Tell me about a time you analyzed information to make a decision.","Ahh, compared vendor options, recommendation partially accepted.",4,4,4,3
"Tell me about a time you analyzed information to make a decision.","Reviewed incomplete forms. Uh, decision partially effective.",3,3,3,3
"Tell me about a time you analyzed information to make a decision.","Ahh, used historical data to predict trends.",5,5,5,4
"Tell me about a time you analyzed information to make a decision.","Uh, analyzed report quickly, minor errors missed.",4,4,4,4
"Tell me about a time you analyzed information to make a decision.","Ahh, used data to guide client proposal.",5,5,5,4
"Tell me about a time you analyzed information to make a decision.","Compared options, suggested optimal solution.",4,4,4,3
"Tell me about a time you analyzed information to make a decision.","Ahh, detected pattern in errors, advised correction.",5,5,5,4
"Tell me about a time you analyzed information to make a decision.","Uh, analyzed incomplete info. Decision partially effective.",3,3,4,3
"Tell me about a time you analyzed information to make a decision.","Ahh, reviewed reports, recommended workflow change.",5,5,5,5
"Tell me about a time you analyzed information to make a decision.","Analyzed multiple sources, suggested solution.",5,4,5,4
"Tell me about a time you analyzed information to make a decision.","Uh, examined numbers quickly. Minor mistakes remained.",4,4,4,3
"Tell me about a time you analyzed information to make a decision.","Ahh, studied client history, suggested changes.",5,5,5,4
"Tell me about a time when a solution you implemented failed. What did you do next?","Ahh, I tried automating report, but it failed. Uh, I reverted manually, informed manager.",4,4,3,4
"Tell me about a time when a solution you implemented failed. What did you do next?","Uh, suggested new schedule, team didn’t follow. Learned to communicate better.",3,3,4,3
"Tell me about a time when a solution you implemented failed. What did you do next?","Implemented checklist, errors still occurred. Ahh, improved checklist.",5,4,5,4
"Tell me about a time when a solution you implemented failed. What did you do next?","Uh, proposed pivot table, calculation failed. Rechecked manually.",4,4,3,3
"Tell me about a time when a solution you implemented failed. What did you do next?","Ahh, solution for client data didn’t work. I apologized and suggested alternate.",4,3,4,3
"Tell me about a time when a solution you implemented failed. What did you do next?","Uh, implemented visual method, client didn’t understand. Revised approach.",4,4,4,4
"Tell me about a time when a solution you implemented failed. What did you do next?","Ahh, automated email reminders failed. Reverted to manual.",4,3,3,4
"Tell me about a time when a solution you implemented failed. What did you do next?","Uh, proposed new workflow, failed initially. Learned from team feedback.",5,4,5,4
"Tell me about a time when a solution you implemented failed. What did you do next?","Ahh, used new tool for report, caused error. Reverted to old method.",4,3,4,3
"Tell me about a time when a solution you implemented failed. What did you do next?","Uh, suggested schedule, team ignored.",3,3,3,3
"Tell me about a time when a solution you implemented failed. What did you do next?","Ahh, created mini guide, partially failed. Adjusted and retrained team.",5,4,5,4
"Tell me about a time when a solution you implemented failed. What did you do next?","Uh, technical workaround didn’t work. Followed standard process.",4,3,4,3
"Tell me about a time when a solution you implemented failed. What did you do next?","Ahh, tried color coding, team ignored. Improved explanation.",4,4,4,4
"Tell me about a time when a solution you implemented failed. What did you do next?","Uh, used template, errors still occurred. Adjusted formula.",4,3,4,3
"Tell me about a time when a solution you implemented failed. What did you do next?","Ahh, automated report crashed. Reverted manually, informed team.",4,4,3,4
"Tell me about a time when a solution you implemented failed. What did you do next?","Uh, implemented pivot table, minor errors. Revised and corrected.",4,4,4,4
